customer_id,Feature 0,Feature 1,Feature 2
0dc0137d280a2a82d2dc89282450ff1b,-8.233347,25.446604,-22.663778
19b1319d29fd9d85ce9bfee83e42d51f,5.150974,21.511045,32.580074
55cd57179082e927015e74115eda38a7,8.870918,19.54008,16.91286
5a3fc240190fe8ab89755e9aa808dc7b,23.989756,-3.4365823,23.430672
67ebbcb19c31ba578327194ddcc99493,-2.540867,20.372887,-26.520891
ca051d58011d0bbd557bcafff6b00270,-1.2544398,-8.136319,-26.684923
e496b80d7dbe663293f0bd57dfa9d242,6.128099,19.113966,-30.064014
0e8945fa33578a01c307ba1429b27581,9.545926,10.613676,-13.955137
331e104259e7c327b74934f2643e1a6d,23.736387,-7.24083,33.280384
3f6515748b530158e476cea842ec61e7,25.584032,-9.282072,3.1611722
3f8a6f7e72f8e9d352989a9177025312,17.154488,22.091736,-4.832666
3fc35d1dae3b727cbd3e1574b30f04fa,-0.16963463,1.518196,14.6667
5ddef25d2fd7bc42b794ccbf364bae3f,6.5262446,19.733212,-4.9516406
7d447344fadc651a596ca593d2a6b6cd,26.727337,0.99147683,-7.152925
a45506c5e7b898b2906dbba6204958a9,33.19772,-5.741321,-7.4855204
a89fca446f4c5dcf68820f22d4a5d424,18.90141,22.990688,20.10078
b1790e71092cfa9b09252fd760a8745a,10.646911,8.1901655,35.34668
f3dc8ff7f2ca28147dfde8de1e8fa1c1,-12.729319,-5.80786,-1.4863422
f3e460a6673d9fe28997b7d8f3fdfd97,16.302486,-26.979002,13.632487
f72b917eff36c0ee4a9aa255824c26f8,1.5015581,1.3880888,4.869499
fd39bb8d9328e9001b748068fbd3e39b,-0.28134918,9.76606,6.2231236
0383514dbe216fe1fc8b883a8bad5ef4,28.797886,-18.964003,25.023026
1842ecd9b37a0efa7c1dfa242fcc376f,7.243217,4.29744,28.370094
1d739a76902b38b81b364c982bf30ae8,-1.1506414,-4.9353347,-5.1049266
2481a4d74333bbccddd6e7bb32dab1ac,34.17791,-7.5888386,-8.978131
3b3ee40b681041aab43a8ab4b8170463,-2.424198,23.323471,-35.2873
3bae2f725ee822e0775d9557a4a25441,11.42402,28.580164,7.644562
46fb1b80898ab17e2feb9204c139eafc,-4.011358,11.598083,-21.023947
64e45b4b022255b28ec8f4306c70e44c,26.17935,-0.59697294,26.226088
6960f72121cbf7f6d8dad35354a7e1e7,1.2701088,8.965909,20.398983
6d7c914912c4addb7c0d27fa35d22bd3,10.180315,-14.767033,33.90932
6f09087f310351021607c14f2e9e2118,-0.61616457,1.6111962,13.283725
75f4c2b46fb9c0e0574e3472bfe6736d,-3.3127987,5.4444575,14.137227
9e28fba468fb0ecf82830d516839cd00,23.848116,-11.909918,13.561257
